MAX6675-k, 2023-07-28 15:51:56, 27.25°C
MAX6675-k, 2023-07-28 15:51:57, 28.0°C
MAX6675-k, 2023-07-28 15:51:58, 27.5°C
MAX6675-k, 2023-07-28 15:51:59, 27.25°C
MAX6675-k, 2023-07-28 15:52:00, 28.0°C
MAX6675-k, 2023-07-28 15:52:01, 27.75°C
MAX6675-k, 2023-07-28 15:52:02, 28.0°C
MAX6675-k, 2023-07-28 15:52:03, 28.25°C
MAX6675-k, 2023-07-28 15:52:04, 28.0°C
MAX6675-k, 2023-07-28 15:52:05, 28.0°C
MAX6675-k, 2023-07-28 15:52:06, 27.75°C
MAX6675-k, 2023-07-28 15:52:07, 28.0°C
MAX6675-k, 2023-07-28 15:52:08, 28.0°C
MAX6675-k, 2023-07-28 15:52:09, 27.75°C
MAX6675-k, 2023-07-28 15:52:10, 27.5°C
MAX6675-k, 2023-07-28 15:52:11, 27.75°C
MAX6675-k, 2023-07-28 15:52:12, 27.25°C
MAX6675-k, 2023-07-28 15:52:13, 28.0°C
MAX6675-k, 2023-07-28 15:52:14, 28.0°C
MAX6675-k, 2023-07-28 15:52:15, 27.75°C
MAX6675-k, 2023-07-28 15:52:16, 28.25°C
MAX6675-k, 2023-07-28 15:52:17, 27.75°C
MAX6675-k, 2023-07-28 15:52:19, 28.0°C
MAX6675-k, 2023-07-28 15:52:20, 28.0°C
MAX6675-k, 2023-07-28 15:52:21, 27.75°C
MAX6675-k, 2023-07-28 15:52:22, 27.75°C
MAX6675-k, 2023-07-28 15:52:23, 27.75°C
MAX6675-k, 2023-07-28 15:52:24, 28.25°C
MAX6675-k, 2023-07-28 15:52:25, 28.0°C
MAX6675-k, 2023-07-28 15:52:26, 28.0°C
MAX6675-k, 2023-07-28 15:52:27, 28.25°C
MAX6675-k, 2023-07-28 15:52:28, 27.75°C
MAX6675-k, 2023-07-28 15:52:29, 28.0°C
MAX6675-k, 2023-07-28 15:52:30, 27.5°C
MAX6675-k, 2023-07-28 15:52:31, 28.0°C
MAX6675-k, 2023-07-28 15:52:32, 28.0°C
MAX6675-k, 2023-07-28 15:52:33, 27.5°C
MAX6675-k, 2023-07-28 15:52:34, 27.5°C
MAX6675-k, 2023-07-28 15:52:35, 27.75°C
MAX6675-k, 2023-07-28 15:52:36, 28.0°C
MAX6675-k, 2023-07-28 15:52:37, 27.75°C
MAX6675-k, 2023-07-28 15:52:38, 28.25°C
MAX6675-k, 2023-07-28 15:52:39, 28.0°C
MAX6675-k, 2023-07-28 15:52:40, 27.75°C
MAX6675-k, 2023-07-28 15:52:41, 27.5°C
MAX6675-k, 2023-07-28 15:52:42, 28.0°C
MAX6675-k, 2023-07-28 15:52:43, 27.75°C
MAX6675-k, 2023-07-28 15:52:44, 27.75°C
MAX6675-k, 2023-07-28 15:52:45, 27.5°C
MAX6675-k, 2023-07-28 15:52:46, 28.0°C
MAX6675-k, 2023-07-28 15:52:47, 28.25°C
MAX6675-k, 2023-07-28 15:52:48, 27.75°C
MAX6675-k, 2023-07-28 15:52:50, 28.0°C
MAX6675-k, 2023-07-28 15:52:51, 28.0°C
MAX6675-k, 2023-07-28 15:52:52, 27.5°C
MAX6675-k, 2023-07-28 15:52:53, 27.75°C
MAX6675-k, 2023-07-28 15:52:54, 28.25°C
MAX6675-k, 2023-07-28 15:52:55, 28.0°C
MAX6675-k, 2023-07-28 15:52:56, 27.25°C
MAX6675-k, 2023-07-28 15:52:57, 28.0°C
MAX6675-k, 2023-07-28 15:52:58, 27.75°C
MAX6675-k, 2023-07-28 15:52:59, 27.75°C
MAX6675-k, 2023-07-28 15:53:00, 28.25°C
MAX6675-k, 2023-07-28 15:53:01, 27.75°C
MAX6675-k, 2023-07-28 15:53:02, 27.75°C
MAX6675-k, 2023-07-28 15:53:03, 27.25°C
MAX6675-k, 2023-07-28 15:53:04, 27.75°C
MAX6675-k, 2023-07-28 15:53:05, 28.0°C
MAX6675-k, 2023-07-28 15:53:06, 28.0°C
MAX6675-k, 2023-07-28 15:53:07, 28.0°C
MAX6675-k, 2023-07-28 15:53:08, 28.25°C
MAX6675-k, 2023-07-28 15:53:09, 27.0°C
MAX6675-k, 2023-07-28 15:53:10, 27.75°C
MAX6675-k, 2023-07-28 15:53:11, 28.25°C
MAX6675-k, 2023-07-28 15:53:12, 28.0°C
MAX6675-k, 2023-07-28 15:53:13, 27.5°C
MAX6675-k, 2023-07-28 15:53:14, 27.5°C
MAX6675-k, 2023-07-28 15:53:15, 28.0°C
MAX6675-k, 2023-07-28 15:53:16, 28.0°C
MAX6675-k, 2023-07-28 15:53:17, 28.25°C
MAX6675-k, 2023-07-28 15:53:18, 28.0°C
MAX6675-k, 2023-07-28 15:53:19, 27.25°C
MAX6675-k, 2023-07-28 15:53:20, 28.0°C
MAX6675-k, 2023-07-28 15:53:22, 28.25°C
MAX6675-k, 2023-07-28 15:53:23, 28.0°C
MAX6675-k, 2023-07-28 15:53:24, 28.25°C
MAX6675-k, 2023-07-28 15:53:25, 28.25°C
MAX6675-k, 2023-07-28 15:53:26, 28.0°C
MAX6675-k, 2023-07-28 15:53:27, 27.75°C
MAX6675-k, 2023-07-28 15:53:28, 28.25°C
MAX6675-k, 2023-07-28 15:53:29, 28.0°C
MAX6675-k, 2023-07-28 15:53:30, 28.0°C
MAX6675-k, 2023-07-28 15:53:31, 28.25°C
MAX6675-k, 2023-07-28 15:53:32, 27.75°C
MAX6675-k, 2023-07-28 15:53:33, 27.75°C
MAX6675-k, 2023-07-28 15:53:34, 27.75°C
MAX6675-k, 2023-07-28 15:53:35, 28.0°C
MAX6675-k, 2023-07-28 15:53:36, 28.25°C
MAX6675-k, 2023-07-28 15:53:37, 28.0°C
MAX6675-k, 2023-07-28 15:53:38, 28.0°C
MAX6675-k, 2023-07-28 15:53:39, 28.25°C
MAX6675-k, 2023-07-28 15:53:40, 28.25°C
MAX6675-k, 2023-07-28 15:53:41, 27.75°C
MAX6675-k, 2023-07-28 15:53:42, 27.75°C
MAX6675-k, 2023-07-28 15:53:43, 28.0°C
MAX6675-k, 2023-07-28 15:53:44, 27.75°C
MAX6675-k, 2023-07-28 15:53:45, 28.5°C
MAX6675-k, 2023-07-28 15:53:46, 28.25°C
MAX6675-k, 2023-07-28 15:53:47, 28.5°C
MAX6675-k, 2023-07-28 15:53:48, 28.25°C
MAX6675-k, 2023-07-28 15:53:49, 28.0°C
MAX6675-k, 2023-07-28 15:53:50, 28.25°C
MAX6675-k, 2023-07-28 15:53:51, 28.25°C
MAX6675-k, 2023-07-28 15:53:53, 28.0°C
MAX6675-k, 2023-07-28 15:53:54, 28.25°C
MAX6675-k, 2023-07-28 15:53:55, 28.0°C
MAX6675-k, 2023-07-28 15:53:56, 28.5°C
MAX6675-k, 2023-07-28 15:53:57, 27.75°C
MAX6675-k, 2023-07-28 15:53:58, 27.5°C
MAX6675-k, 2023-07-28 15:53:59, 28.25°C
MAX6675-k, 2023-07-28 15:54:00, 28.25°C
MAX6675-k, 2023-07-28 15:54:01, 28.0°C
MAX6675-k, 2023-07-28 15:54:02, 28.25°C
MAX6675-k, 2023-07-28 15:54:03, 28.25°C
MAX6675-k, 2023-07-28 15:54:04, 28.25°C
MAX6675-k, 2023-07-28 15:54:05, 28.5°C
MAX6675-k, 2023-07-28 15:54:06, 27.75°C
MAX6675-k, 2023-07-28 15:54:07, 28.25°C
MAX6675-k, 2023-07-28 15:54:08, 27.25°C
MAX6675-k, 2023-07-28 15:54:09, 27.75°C
MAX6675-k, 2023-07-28 15:54:10, 28.25°C
MAX6675-k, 2023-07-28 15:54:11, 28.0°C
MAX6675-k, 2023-07-28 15:54:12, 27.75°C
MAX6675-k, 2023-07-28 15:54:13, 28.25°C
MAX6675-k, 2023-07-28 15:54:14, 27.75°C
MAX6675-k, 2023-07-28 15:54:15, 28.5°C
MAX6675-k, 2023-07-28 15:54:16, 28.25°C
MAX6675-k, 2023-07-28 15:54:17, 28.25°C
MAX6675-k, 2023-07-28 15:54:18, 28.25°C
MAX6675-k, 2023-07-28 15:54:19, 28.25°C
MAX6675-k, 2023-07-28 15:54:20, 28.0°C
MAX6675-k, 2023-07-28 15:54:21, 28.0°C
MAX6675-k, 2023-07-28 15:54:22, 28.0°C
MAX6675-k, 2023-07-28 15:54:24, 28.25°C
MAX6675-k, 2023-07-28 15:54:25, 28.25°C
MAX6675-k, 2023-07-28 15:54:26, 28.25°C
MAX6675-k, 2023-07-28 15:54:27, 28.0°C
MAX6675-k, 2023-07-28 15:54:28, 28.25°C
MAX6675-k, 2023-07-28 15:54:29, 27.5°C
MAX6675-k, 2023-07-28 15:54:30, 28.25°C
MAX6675-k, 2023-07-28 15:54:31, 28.25°C
